Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_Delta_T,OIL_Delta_T,Fuel Flow Integral,Distance Traveled,MPG,Max CHT,Engine Run,Flight ID
5.06,1,5,2026-04-14 00:09:03,37.08118,-121.59937,239.0,0.1,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,153.0,0.1,-0.01,1.0,99.0,-89.0,24,0.0,29.93,1209.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.9,,,,,,75.2,66.2,,,,,66.2,68.0,68.0,68.0,66.2,68.0,68.0,68.0,,,66.02,0.0,67.1,-8.100000000000009,-9.0,0.0,0.0,0.0,379.4,True,2026-04-14 00:09:03
6.06,1,6,2026-04-14 00:09:04,37.08156,-121.59961,335.0,0.0,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,152.0,0.1,-0.01,1.0,99.0,-87.0,24,0.0,29.93,1209.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.586,+0.0,18.8,,,,,,75.2,66.2,,,,,66.2,68.0,68.0,68.0,66.2,68.0,68.0,68.0,,,65.84,0.0,67.1,-8.100000000000009,-9.0,0.0,0.08433333333333333,0.0,379.4,True,2026-04-14 00:09:03
7.06,1,7,2026-04-14 00:09:05,37.08154,-121.5996,324.0,0.0,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,152.0,0.1,-0.01,1.0,99.0,-71.0,24,0.0,29.93,1215.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.8,,,,,,75.2,66.2,,,,,66.2,68.0,68.0,68.0,66.2,68.0,68.0,68.0,,,65.84,0.0,67.1,-8.100000000000009,-9.0,0.0,0.08433333333333333,0.0,379.4,True,2026-04-14 00:09:03
8.06,1,7,2026-04-14 00:09:06,37.08154,-121.5996,324.0,0.0,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,151.0,0.1,-0.01,1.0,99.0,-41.0,24,0.0,29.93,1215.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.8,,,,,,75.2,66.2,,,,,66.2,68.0,68.0,68.0,66.2,68.0,68.0,68.0,,,65.84,0.0,67.1,-8.100000000000009,-9.0,0.0,0.08433333333333333,0.0,379.4,True,2026-04-14 00:09:03
9.06,1,7,2026-04-14 00:09:07,37.08154,-121.5996,322.0,0.1,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,150.0,0.1,-0.01,1.0,99.0,-54.0,24,0.0,29.93,1215.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.8,,,,,,75.2,66.2,,,,,66.2,68.0,68.0,68.0,66.2,68.0,68.0,68.0,,,65.84,0.0,67.1,-8.100000000000009,-9.0,0.0,0.16866666666666666,0.0,379.4,True,2026-04-14 00:09:03
10.06,1,7,2026-04-14 00:09:08,37.08154,-121.59961,320.0,0.1,153.6,-12.6,,,,,0.0,10.7,-0.7,11.8,0.0,149.0,0.1,-0.01,1.0,99.0,-54.0,24,0.0,29.93,1212.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,19.0,20.0,19.0,20.0,19.0,20.0,20.0,20.0,,,9.0,254.5,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.8,,,,,,75.2,66.2,,,,,66.2,68.0,66.2,68.0,66.2,68.0,68.0,68.0,,,65.84,0.0,66.64999999999999,-8.550000000000011,-9.0,0.0,0.3373333333333333,0.0,379.4,True,2026-04-14 00:09:03
11.06,1,7,2026-04-14 00:09:09,37.08154,-121.59961,318.0,0.1,153.6,-12.6,,,,,0.0,10.7,-0.7,11.7,0.0,149.0,0.1,-0.01,1.0,99.0,-42.0,24,0.0,29.93,1212.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,9.0,254.4,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.7,,,,,,75.2,66.2,,,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,65.66,0.0,68.0,-7.200000000000003,-9.0,0.0,0.506,0.0,379.4,True,2026-04-14 00:09:03
12.06,1,7,2026-04-14 00:09:10,37.08154,-121.59961,317.0,0.1,153.6,-12.6,,,,,0.0,10.7,-0.8,11.7,0.0,148.0,0.1,-0.02,1.0,99.0,-31.0,24,0.0,29.93,1212.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,9.0,254.4,,0.1,2.0,0.0,,,1.576,1.586,+0.0,18.7,,,,,,75.2,66.2,,,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,65.66,0.0,68.0,-7.200000000000003,-9.0,0.0,0.6746666666666666,0.0,379.4,True,2026-04-14 00:09:03
13.06,1,7,2026-04-14 00:09:11,37.08155,-121.59961,317.0,0.0,153.6,-12.6,,,,,0.0,10.7,-0.7,11.7,0.0,148.0,0.1,-0.01,1.0,99.0,-12.0,24,0.0,29.93,1220.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,9.0,254.4,,0.1,2.0,0.0,,,1.576,1.586,+0.0,18.7,,,,,,75.2,66.2,,,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,65.66,0.0,68.0,-7.200000000000003,-9.0,0.0,0.759,0.0,379.4,True,2026-04-14 00:09:03
14.06,1,7,2026-04-14 00:09:12,37.08155,-121.59961,317.0,0.0,153.6,-12.6,,,,,0.0,10.7,-0.8,11.7,0.0,148.0,0.1,-0.01,1.0,99.0,-29.0,24,0.0,29.93,1220.0,,,307.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,19.0,0.0,0.0,30.2,0.0,,0.0,0.1,,,16.3,0.0,0.0,-0.7,10.0,8.1,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,9.0,254.4,,0.1,2.0,0.0,,,1.576,1.584,+0.0,18.7,,,,,,75.2,66.2,,,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,65.66,0.0,68.0,-7.200000000000003,-9.0,0.0,0.759,0.0,379.4,True,2026-04-14 00:09:03
