Session Time,GPS Fix Quality,Number of Satellites,GPS Date & Time,Latitude (deg),Longitude (deg),GPS Altitude (feet),Ground Speed (knots),Ground Track (deg),Mag Var (deg),Cross Track Error (NM),Destination Waypoint ID,Range to Destination (NM),Bearing to Destination (deg),System Time,Pitch (deg),Roll (deg),Magnetic Heading (deg),Indicated Airspeed (knots),Pressure Altitude (ft),Turn Rate (deg/s),Lateral Accel (g),Vertical Accel(g),Angle of Attack (%),Vertical Speed (ft/min),OAT (deg C),True Airspeed (knots),Barometer Setting (inHg),Density Altitude (ft),Wind Direction (deg),Wind Speed (knots),Heading Bug (deg),Altitude Bug (ft),Airspeed Bug (knots),Vertical Speed Bug (ft/min),Course (deg),CDI Source Type,CDI Source Port,CDI Scale (NM),CDI Deflection (%),Glideslope (%),AP Engaged,AP Roll Mode,AP Roll Force,AP Roll Position (steps),AP Roll Slip (bool),AP Pitch Force,AP Pitch Position (steps),AP Pitch Slip (bool),AP Yaw Force,AP Yaw Position,AP Yaw Slip (bool),Transponder Status,Transponder Reply (bool),Transponder Identing (bool),Transponder Code (octal),Oil Pressure (PSI),Oil Temp (deg C),RPM L,RPM R,Manifold Pressure (inHg),Fuel Flow 1 (gal/hr),Fuel Flow 2 (gal/hr),Total Fuel Flow (gal/hr),Fuel Pressure (PSI),Fuel Level L (gal),Fuel Level R (gal),Fuel Remaining (gal),Volts 1,Volts 2,Amps,Hobbs Time,Tach Time,Thermocouple 1 (deg C),Thermocouple 2 (deg C),Thermocouple 3 (deg C),Thermocouple 4 (deg C),CHT 4 (deg C),EGT 4 (deg C),CHT 3 (deg C),EGT 3 (deg C),CHT 2 (deg C),EGT 2 (deg C),CHT 1 (deg C),EGT 1 (deg C),Thermocouple 13 (deg C),Thermocouple 14 (deg C),ELEV POSITION (%),CO PPM PRESSURE (PSI),GP Input 3,FUEL PRESSURE (PSI),AILERN POSITION (%),CANOPY CONTACT (V),GP Input 7,GP Input 8,LEFT LEVEL (Sensor V),RIGHT LEVEL (Sensor V),OIL PRESSURE (PSI),OIL TEMPERATURE (deg C),GP Input 13,Contacts,Percent Power,EGT Leaning State,Unnamed: 103,source_file,Unnamed: 0,press_alt,ias,hdg,gps_gs,gps_trk,OAT (deg F),Oil Temp (deg F),Thermocouple 1 (deg F),Thermocouple 2 (deg F),Thermocouple 3 (deg F),Thermocouple 4 (deg F),CHT 4 (deg F),EGT 4 (deg F),CHT 3 (deg F),EGT 3 (deg F),CHT 2 (deg F),EGT 2 (deg F),CHT 1 (deg F),EGT 1 (deg F),Thermocouple 13 (deg F),Thermocouple 14 (deg F),OIL TEMPERATURE (deg F),RPM,AVG_CHT,CHT_OAT_Ratio,OIL_OAT_Ratio,Fuel Flow Integral,Distance Traveled,Max CHT,Engine Run,Flight ID,efficiency
4.06,1.0,9.0,2026-02-28 17:33:49,37.08169,-121.59971,396.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,258.0,0.1,-0.01,1.0,,-138.0,19.0,0.0,30.24,831.0,,,336.0,,110.0,500.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.929,0.823,0.0,14.5,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,58.1,0.0,59.45,0.898036253776435,,0.0,0.0,419.0,True,2026-02-28 17:33:49 - Flight 14,
5.06,1.0,9.0,2026-02-28 17:33:50,37.08167,-121.59969,361.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,257.0,0.0,-0.01,1.0,,-116.0,19.0,0.0,30.24,831.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.929,0.823,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.0,419.0,True,2026-02-28 17:33:49 - Flight 14,
6.06,1.0,9.0,2026-02-28 17:33:51,37.08167,-121.59969,364.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.7,34.3,0.0,255.0,0.0,-0.01,1.0,,-92.0,19.0,0.0,30.24,831.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.929,0.823,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.0,419.0,True,2026-02-28 17:33:49 - Flight 14,
7.06,1.0,9.0,2026-02-28 17:33:52,37.08167,-121.59969,366.0,0.1,157.3,-12.6,,,,,0.0,10.8,-0.7,34.3,0.0,255.0,0.0,-0.01,1.0,,-52.0,19.0,0.0,30.24,828.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.929,0.823,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.08433333333333333,419.0,True,2026-02-28 17:33:49 - Flight 14,
8.06,1.0,9.0,2026-02-28 17:33:53,37.08167,-121.59969,368.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.7,34.3,0.0,255.0,0.0,-0.01,1.0,,-45.0,19.0,0.0,30.24,829.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.16866666666666674,419.0,True,2026-02-28 17:33:49 - Flight 14,
9.06,1.0,9.0,2026-02-28 17:33:54,37.08167,-121.59969,370.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,255.0,0.0,-0.01,1.0,,-26.0,19.0,0.0,30.24,829.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,12.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.16866666666666674,419.0,True,2026-02-28 17:33:49 - Flight 14,
10.06,1.0,9.0,2026-02-28 17:33:55,37.08167,-121.59969,372.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.7,34.3,0.0,254.0,0.0,-0.01,1.0,,-51.0,19.0,0.0,30.24,829.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.4,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,14.0,254.4,,0.0,21.0,4.998,,,0.929,0.824,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.16866666666666674,419.0,True,2026-02-28 17:33:49 - Flight 14,
11.06,1.0,9.0,2026-02-28 17:33:56,37.08167,-121.59969,374.0,0.1,157.3,-12.6,,,,,0.0,10.8,-0.7,34.2,0.0,252.0,0.0,-0.02,1.0,,-80.0,19.0,0.0,30.24,835.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,13.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.4,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.92,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.25300000000000006,419.0,True,2026-02-28 17:33:49 - Flight 14,
12.06,1.0,9.0,2026-02-28 17:33:57,37.08167,-121.59969,375.0,0.0,157.3,-12.6,,,,,0.0,10.8,-0.8,34.2,0.0,251.0,0.0,-0.01,1.0,,-79.0,19.0,0.0,30.24,835.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,11.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
13.06,1.0,9.0,2026-02-28 17:33:58,37.08167,-121.59969,377.0,0.0,157.3,-12.6,,,,,0.0,10.7,-0.8,34.2,0.0,250.0,0.1,-0.01,1.0,,-75.0,19.0,0.0,30.24,835.0,,,336.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,14.0,0.0,0.0,30.1,0.0,,0.0,0.0,,,25.3,0.0,0.0,-0.5,2.9,1.8,,,,,15.0,16.0,15.0,17.0,15.0,16.0,16.0,17.0,,,11.0,254.4,,0.0,21.0,4.998,,,0.93,0.824,0.0,14.3,,,,,,2026-02-28-N890GF-SN35347-17.4.0.23677-USER_LOG_DATA.csv,,,,,,,66.2,57.2,,,,,59.0,60.8,59.0,62.6,59.0,60.8,60.8,62.6,,,57.74,0.0,59.45,0.898036253776435,0.8640483383685801,0.0,0.3373333333333334,419.0,True,2026-02-28 17:33:49 - Flight 14,
